,Timestep,DislocationAnalysis.cell_volume,DislocationAnalysis.counts.BCC,DislocationAnalysis.counts.CubicDiamond,DislocationAnalysis.counts.FCC,DislocationAnalysis.counts.HCP,DislocationAnalysis.counts.HexagonalDiamond,DislocationAnalysis.counts.OTHER,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length,PolyhedralTemplateMatching.counts.BCC,PolyhedralTemplateMatching.counts.FCC,PolyhedralTemplateMatching.counts.HCP,PolyhedralTemplateMatching.counts.ICO,PolyhedralTemplateMatching.counts.OTHER,PolyhedralTemplateMatching.counts.SC
10,220000.0,47812740.0,0.0,0.0,3690823.0,61865.0,0.0,247312.0,1932.489501953125,2644.23681640625,1229.792724609375,14587.5439453125,65903.359375,1852.3189697265625,88155.7734375,1144.0,3725044.0,74893.0,0.0,198918.0,1.0
11,240000.0,47812740.0,0.0,0.0,3693683.0,73437.0,0.0,232880.0,2289.15380859375,2740.38427734375,1745.48828125,16446.068359375,69916.15625,2306.29248046875,95443.484375,969.0,3727838.0,88392.0,1.0,182800.0,0.0
12,260000.0,47812740.0,0.0,0.0,3708680.0,68513.0,0.0,222807.0,1986.5435791015625,2810.3671875,1214.2119140625,15893.515625,66731.3203125,2185.968505859375,90827.1484375,918.0,3740414.0,82491.0,2.0,176174.0,1.0
13,280000.0,47812740.0,0.0,0.0,3709200.0,69724.0,0.0,221076.0,1942.2100830078125,3237.77978515625,1394.1435546875,17454.814453125,64888.90234375,1795.9464111328125,90713.609375,882.0,3740780.0,83596.0,1.0,174740.0,1.0
14,300000.0,47812740.0,0.0,0.0,3713865.0,67267.0,0.0,218868.0,1850.8203125,2729.24462890625,1618.3543701171875,17221.744140625,66610.9140625,1906.4525146484375,91937.5859375,956.0,3745008.0,81235.0,3.0,172797.0,1.0
15,320000.0,47812740.0,0.0,0.0,3676997.0,74131.0,0.0,248872.0,1976.671630859375,2823.795654296875,1272.8197021484375,17446.697265625,66800.75,1689.2652587890625,92014.0703125,939.0,3710538.0,88251.0,0.0,200267.0,5.0
16,340000.0,47812740.0,0.0,0.0,3689685.0,73928.0,0.0,236387.0,2234.048583984375,2406.858154296875,1468.802734375,18191.455078125,68130.59375,1511.1346435546875,93943.09375,973.0,3722645.0,88393.0,1.0,187986.0,2.0
17,360000.0,47812740.0,0.0,0.0,3702797.0,71846.0,0.0,225357.0,1906.48583984375,2193.208251953125,1394.2264404296875,18137.91796875,66415.8515625,1992.78515625,92081.8203125,823.0,3733615.0,85994.0,0.0,179565.0,3.0
18,380000.0,47812740.0,0.0,0.0,3707496.0,67976.0,0.0,224528.0,1998.9102783203125,2231.46630859375,1103.1053466796875,16778.21875,64491.09765625,1522.1279296875,88124.78125,879.0,3738278.0,81721.0,0.0,179120.0,2.0
19,400000.0,47812740.0,0.0,0.0,3718300.0,67864.0,0.0,213836.0,1589.6805419921875,2512.921142578125,1454.8505859375,18335.67578125,62138.90625,1679.5653076171875,87711.5625,908.0,3747297.0,81196.0,0.0,170597.0,2.0
