,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length
SAED PC 48,0.004422090323003092,0.004911338208644367,-0.00401275965115604,0.026126122736478758,-0.01829020966491483,-0.08921128170205386,-0.006627610640750381,0.0001350356215816195,-0.010142111276418024,-0.056069307459067824,-0.01194683243186905
SAED PC 49,0.005743863176613809,0.006580579813643463,-0.00436891489262916,0.01162235992904595,-0.00507570842236528,-0.017213028578296343,-0.10100094980519467,-0.024649563729212707,0.024094958014306965,0.017527056810028516,0.010496619155394203
SAED PC 50,0.021012045290451333,0.027660701247610563,-0.01658517911080761,-0.091479473257318,-0.09599580917768724,-0.08140181273346882,0.06435732107923059,0.05929945923435809,-0.0035608224018805787,-0.06946973805682698,0.004821234728766178
SAED PC 51,-0.011052861361164101,-0.006090909279719592,0.010851474395121463,-0.02044549715392612,0.06710409830240079,0.09661814873094807,0.04092352332346864,0.0060459910215905285,0.018866700842366867,0.0420812125524129,0.02108408867891304
SAED PC 52,-0.015566137669838933,-0.011439768104148205,0.018256102850262756,-0.04163826516771932,-0.010828563537048566,-0.045227491413696884,0.06986694786797551,-0.020127617854745403,-0.007556293502114599,-0.04378431248362874,-0.01133048670763933
SAED PC 53,0.016092541405255473,0.014945382576782311,-0.01581646980802216,-0.01130953376077557,0.011559713149752073,-0.0650009220536169,-0.026861156876274453,0.035448875569791996,0.0040329386842864155,0.022957246307238152,0.009522479266381443
SAED PC 54,-0.017391201575868997,-0.02009629873814282,0.019219786388409748,0.016877217453869137,-0.07132349960166179,-0.095695948697483,-0.03512170290874305,-0.027259291721215377,-0.023740013622533924,-0.06614409187930863,-0.030037505872377537
SAED PC 55,-0.008592422268316089,-0.011138263125632694,0.008474502875306104,0.06264219816389426,0.05251384704923066,-0.018263937223150662,-0.014098098909192159,-0.03996579578248819,0.0015097677642119294,0.023817595883546892,-0.006159112754533475
SAED PC 56,0.008211373200873782,0.00364894642124375,-0.007613869514510706,0.07109735453779917,0.010387561969444478,0.1235632962974203,0.022540613790987443,-0.01848144350529231,0.011667045558357552,0.0029111521607050007,0.00825700946963336
SAED PC 57,0.02231099892761523,0.02939900725763241,-0.025876813866511944,-0.074858341642495,0.12481331464081048,0.02912959372661379,0.05404212081032869,0.034425310172637266,0.046562398061657045,0.02480593554302886,0.04729669534516913
SAED PC 58,0.012151123213023725,0.010238262907075265,-0.007261066625953463,-0.010365480529287404,-0.03315919537128506,-0.001906117910311629,-0.053408526575818675,0.021267633090899005,0.010651405582410114,0.04230861944499682,0.011904655514410101
SAED PC 59,-0.019358295367498033,-0.012626633246148817,0.015273632698382094,-0.04341401462817426,0.03176573255283379,-0.18587292374369158,0.046733041685594334,-0.05811491922154155,-0.02475983683279924,-0.07047024351448626,-0.035737121703590384
SAED PC 60,0.000763165796179351,0.002478599563282743,9.212128853729421e-06,-0.03092407048022681,-0.022431419719175276,-0.016255465912570925,0.07852442876678001,-0.014639949494125528,0.0072378229143419785,-0.010542396187155157,0.002317349768173136
SAED PC 61,-0.01510894187972266,-0.018319499706534497,0.018192311988373178,0.033642281605435184,0.014581540579051247,-0.019713674499253486,-0.013412561686813148,0.0073830041570883105,-0.014745274770588514,-0.10988360072317635,-0.013043073025273355
